"Year","Type","NAME","Candidate","Votes","Party","Cast"
"2018","State Representative","60","TIM D LEWIS",652,"REP","Absentee"
"2018","State Representative","60","TIM D LEWIS",3704,"REP","Early"
"2018","State Representative","60","TIM D LEWIS",1768,"REP","ElectionDay"
"2018","State Representative","61","DAVID M GALLEGOS",3530,"REP","Total"
"2018","State Representative","61","DAVID M GALLEGOS",287,"REP","Absentee"
"2018","State Representative","61","DAVID M GALLEGOS",1203,"REP","Early"
"2018","State Representative","61","DAVID M GALLEGOS",2040,"REP","ElectionDay"
"2018","State Representative","62","LARRY R SCOTT",6561,"REP","Total"
"2018","State Representative","62","LARRY R SCOTT",558,"REP","Absentee"
"2018","State Representative","62","LARRY R SCOTT",3560,"REP","Early"
"2018","State Representative","62","LARRY R SCOTT",2443,"REP","ElectionDay"
"2018","State Representative","63","MARTIN RUBEN ZAMORA",2982,"REP","Total"
"2018","State Representative","63","MARTIN RUBEN ZAMORA",268,"REP","Absentee"
"2018","State Representative","63","MARTIN RUBEN ZAMORA",1188,"REP","Early"
"2018","State Representative","63","MARTIN RUBEN ZAMORA",1526,"REP","ElectionDay"
"2018","State Representative","63","GEORGE DODGE JR",2955,"DEM","Total"
"2018","State Representative","63","GEORGE DODGE JR",347,"DEM","Absentee"
"2018","State Representative","63","GEORGE DODGE JR",1080,"DEM","Early"
"2018","State Representative","63","GEORGE DODGE JR",1528,"DEM","ElectionDay"
"2018","State Representative","64","RANDAL S CROWDER",5687,"REP","Total"
"2018","State Representative","64","RANDAL S CROWDER",307,"REP","Absentee"
"2018","State Representative","64","RANDAL S CROWDER",2974,"REP","Early"
"2018","State Representative","64","RANDAL S CROWDER",2406,"REP","ElectionDay"
"2018","State Representative","65","DERRICK J LENTE",6359,"DEM","Total"
"2018","State Representative","65","DERRICK J LENTE",439,"DEM","Absentee"
"2018","State Representative","65","DERRICK J LENTE",1593,"DEM","Early"
"2018","State Representative","65","DERRICK J LENTE",4327,"DEM","ElectionDay"
"2018","State Representative","66","PHELPS ANDERSON",6802,"REP","Total"
"2018","State Representative","66","PHELPS ANDERSON",542,"REP","Absentee"
"2018","State Representative","66","PHELPS ANDERSON",3303,"REP","Early"
"2018","State Representative","66","PHELPS ANDERSON",2957,"REP","ElectionDay"
"2018","State Representative","67","JACKEY O CHATFIELD",5842,"REP","Total"
"2018","State Representative","67","JACKEY O CHATFIELD",445,"REP","Absentee"
"2018","State Representative","67","JACKEY O CHATFIELD",2325,"REP","Early"
"2018","State Representative","67","JACKEY O CHATFIELD",3072,"REP","ElectionDay"
"2018","State Representative","67","MARK D MCDONALD",3549,"DEM","Total"
"2018","State Representative","67","MARK D MCDONALD",285,"DEM","Absentee"
"2018","State Representative","67","MARK D MCDONALD",1297,"DEM","Early"
"2018","State Representative","67","MARK D MCDONALD",1967,"DEM","ElectionDay"
"2018","State Representative","68","KAREN C BASH",6872,"DEM","Total"
"2018","State Representative","68","KAREN C BASH",598,"DEM","Absentee"
"2018","State Representative","68","KAREN C BASH",4530,"DEM","Early"
"2018","State Representative","68","KAREN C BASH",1744,"DEM","ElectionDay"
"2018","State Representative","68","MONICA C YOUNGBLOOD",4978,"REP","Total"
"2018","State Representative","68","MONICA C YOUNGBLOOD",545,"REP","Absentee"
"2018","State Representative","68","MONICA C YOUNGBLOOD",3115,"REP","Early"
"2018","State Representative","68","MONICA C YOUNGBLOOD",1318,"REP","ElectionDay"
"2018","State Representative","69","HARRY GARCIA",5721,"DEM","Total"
"2018","State Representative","69","HARRY GARCIA",382,"DEM","Absentee"
"2018","State Representative","69","HARRY GARCIA",1575,"DEM","Early"
"2018","State Representative","69","HARRY GARCIA",3764,"DEM","ElectionDay"
"2018","State Representative","70","TOMAS E SALAZAR",6927,"DEM","Total"
"2018","State Representative","70","TOMAS E SALAZAR",459,"DEM","Absentee"
"2018","State Representative","70","TOMAS E SALAZAR",2860,"DEM","Early"
"2018","State Representative","70","TOMAS E SALAZAR",3608,"DEM","ElectionDay"
"2016","State Representative","1","RODNEY D MONTOYA",10717,"REP","Total"
"2016","State Representative","1","RODNEY D MONTOYA",769,"REP","Absentee"
"2016","State Representative","1","RODNEY D MONTOYA",6677,"REP","Early"
"2016","State Representative","1","RODNEY D MONTOYA",3271,"REP","ElectionDay"
"2016","State Representative","2","KENNETH R ROBINSON",2369,"DEM","Total"
"2016","State Representative","2","KENNETH R ROBINSON",146,"DEM","Absentee"
"2016","State Representative","2","KENNETH R ROBINSON",1226,"DEM","Early"
"2016","State Representative","2","KENNETH R ROBINSON",997,"DEM","ElectionDay"
"2016","State Representative","2","JAMES RJ STRICKLER",6083,"REP","Total"
"2016","State Representative","2","JAMES RJ STRICKLER",416,"REP","Absentee"
"2016","State Representative","2","JAMES RJ STRICKLER",3805,"REP","Early"
"2016","State Representative","2","JAMES RJ STRICKLER",1862,"REP","ElectionDay"
"2016","State Representative","3","PAUL C BANDY",8299,"REP","Total"
"2016","State Representative","3","PAUL C BANDY",518,"REP","Absentee"
"2016","State Representative","3","PAUL C BANDY",5016,"REP","Early"
"2016","State Representative","3","PAUL C BANDY",2765,"REP","ElectionDay"
"2016","State Representative","4","GLOJEAN B TODACHEENE",4257,"DEM","Total"
"2016","State Representative","4","GLOJEAN B TODACHEENE",93,"DEM","Absentee"
"2016","State Representative","4","GLOJEAN B TODACHEENE",1653,"DEM","Early"
"2016","State Representative","4","GLOJEAN B TODACHEENE",2511,"DEM","ElectionDay"
"2016","State Representative","4","SHARON E CLAHCHISCHILLIAGE",5056,"REP","Total"
"2016","State Representative","4","SHARON E CLAHCHISCHILLIAGE",237,"REP","Absentee"
"2016","State Representative","4","SHARON E CLAHCHISCHILLIAGE",2250,"REP","Early"
"2016","State Representative","4","SHARON E CLAHCHISCHILLIAGE",2569,"REP","ElectionDay"
"2016","State Representative","5","DOREEN W JOHNSON",7558,"DEM","Total"
"2016","State Representative","5","DOREEN W JOHNSON",514,"DEM","Absentee"
"2016","State Representative","5","DOREEN W JOHNSON",1901,"DEM","Early"
"2016","State Representative","5","DOREEN W JOHNSON",5143,"DEM","ElectionDay"
"2016","State Representative","6","ELISEO LEE ALCON",6707,"DEM","Total"
"2016","State Representative","6","ELISEO LEE ALCON",372,"DEM","Absentee"
"2016","State Representative","6","ELISEO LEE ALCON",2064,"DEM","Early"
"2016","State Representative","6","ELISEO LEE ALCON",4271,"DEM","ElectionDay"
"2016","State Representative","7","ARTURO FIERRO",3964,"DEM","Total"
"2016","State Representative","7","ARTURO FIERRO",780,"DEM","Absentee"
"2016","State Representative","7","ARTURO FIERRO",1396,"DEM","Early"
"2016","State Representative","7","ARTURO FIERRO",1788,"DEM","ElectionDay"
"2016","State Representative","7","KELLY K FAJARDO",5149,"REP","Total"
"2016","State Representative","7","KELLY K FAJARDO",1063,"REP","Absentee"
"2016","State Representative","7","KELLY K FAJARDO",2086,"REP","Early"
"2016","State Representative","7","KELLY K FAJARDO",2000,"REP","ElectionDay"
"2016","State Representative","8","ALONZO BALDONADO",7251,"REP","Total"
"2016","State Representative","8","ALONZO BALDONADO",1603,"REP","Absentee"
"2016","State Representative","8","ALONZO BALDONADO",3419,"REP","Early"
"2016","State Representative","8","ALONZO BALDONADO",2229,"REP","ElectionDay"
"2016","State Representative","8","JIM D DANNER",4493,"DEM","Total"
"2016","State Representative","8","JIM D DANNER",1068,"DEM","Absentee"
"2016","State Representative","8","JIM D DANNER",2188,"DEM","Early"
"2016","State Representative","8","JIM D DANNER",1237,"DEM","ElectionDay"
"2016","State Representative","9","PATRICIA 'PATTY' A LUNDSTROM",6446,"DEM","Total"
"2016","State Representative","9","PATRICIA 'PATTY' A LUNDSTROM",572,"DEM","Absentee"
"2016","State Representative","9","PATRICIA 'PATTY' A LUNDSTROM",1714,"DEM","Early"
"2016","State Representative","9","PATRICIA 'PATTY' A LUNDSTROM",4160,"DEM","ElectionDay"
"2016","State Representative","10","G ANDRES ROMERO",4821,"DEM","Total"
"2016","State Representative","10","G ANDRES ROMERO",397,"DEM","Absentee"
"2016","State Representative","10","G ANDRES ROMERO",2683,"DEM","Early"
"2016","State Representative","10","G ANDRES ROMERO",1741,"DEM","ElectionDay"
"2016","State Representative","10","ROBERT A SCHILLER",2337,"IND","Total"
"2016","State Representative","10","ROBERT A SCHILLER",230,"IND","Absentee"
"2016","State Representative","10","ROBERT A SCHILLER",1302,"IND","Early"
"2016","State Representative","10","ROBERT A SCHILLER",805,"IND","ElectionDay"
"2016","State Representative","11","JAVIER I MARTINEZ",10118,"DEM","Total"
"2016","State Representative","11","JAVIER I MARTINEZ",863,"DEM","Absentee"
"2016","State Representative","11","JAVIER I MARTINEZ",6791,"DEM","Early"
"2016","State Representative","11","JAVIER I MARTINEZ",2464,"DEM","ElectionDay"
"2016","State Representative","12","PATRICIO R RUILOBA",5036,"DEM","Total"
"2016","State Representative","12","PATRICIO R RUILOBA",363,"DEM","Absentee"
"2016","State Representative","12","PATRICIO R RUILOBA",2831,"DEM","Early"
"2016","State Representative","12","PATRICIO R RUILOBA",1842,"DEM","ElectionDay"
"2016","State Representative","13","PATRICIA A ROYBAL CABALLERO",5525,"DEM","Total"
"2016","State Representative","13","PATRICIA A ROYBAL CABALLERO",318,"DEM","Absentee"
"2016","State Representative","13","PATRICIA A ROYBAL CABALLERO",3444,"DEM","Early"
"2016","State Representative","13","PATRICIA A ROYBAL CABALLERO",1763,"DEM","ElectionDay"
"2016","State Representative","14","MIGUEL P GARCIA",6209,"DEM","Total"
"2016","State Representative","14","MIGUEL P GARCIA",531,"DEM","Absentee"
"2016","State Representative","14","MIGUEL P GARCIA",3726,"DEM","Early"
"2016","State Representative","14","MIGUEL P GARCIA",1952,"DEM","ElectionDay"
"2016","State Representative","15","ANE C ROMERO",6467,"DEM","Total"
"2016","State Representative","15","ANE C ROMERO",670,"DEM","Absentee"
"2016","State Representative","15","ANE C ROMERO",4539,"DEM","Early"
"2016","State Representative","15","ANE C ROMERO",1258,"DEM","ElectionDay"
"2016","State Representative","15","SARAH MAESTAS BARNES",7358,"REP","Total"
"2016","State Representative","15","SARAH MAESTAS BARNES",903,"REP","Absentee"
"2016","State Representative","15","SARAH MAESTAS BARNES",4911,"REP","Early"
"2016","State Representative","15","SARAH MAESTAS BARNES",1544,"REP","ElectionDay"
"2016","State Representative","16","ANTONIO 'MOE' MAESTAS",8256,"DEM","Total"
"2016","State Representative","16","ANTONIO 'MOE' MAESTAS",746,"DEM","Absentee"
"2016","State Representative","16","ANTONIO 'MOE' MAESTAS",5628,"DEM","Early"
"2016","State Representative","16","ANTONIO 'MOE' MAESTAS",1882,"DEM","ElectionDay"
"2016","State Representative","17","DEBORAH A ARMSTRONG",8640,"DEM","Total"
"2016","State Representative","17","DEBORAH A ARMSTRONG",889,"DEM","Absentee"
"2016","State Representative","17","DEBORAH A ARMSTRONG",5852,"DEM","Early"
"2016","State Representative","17","DEBORAH A ARMSTRONG",1899,"DEM","ElectionDay"
"2016","State Representative","18","GAIL CHASEY",9922,"DEM","Total"
"2016","State Representative","18","GAIL CHASEY",846,"DEM","Absentee"
"2016","State Representative","18","GAIL CHASEY",6549,"DEM","Early"
"2016","State Representative","18","GAIL CHASEY",2527,"DEM","ElectionDay"
"2016","State Representative","19","SHERYL M WILLIAMS STAPLETON",8289,"DEM","Total"
"2016","State Representative","19","SHERYL M WILLIAMS STAPLETON",809,"DEM","Absentee"
"2016","State Representative","19","SHERYL M WILLIAMS STAPLETON",5420,"DEM","Early"
"2016","State Representative","19","SHERYL M WILLIAMS STAPLETON",2060,"DEM","ElectionDay"
"2016","State Representative","20","JIM DINES",7350,"REP","Total"
"2016","State Representative","20","JIM DINES",970,"REP","Absentee"
"2016","State Representative","20","JIM DINES",4928,"REP","Early"
"2016","State Representative","20","JIM DINES",1452,"REP","ElectionDay"
"2016","State Representative","20","GIOVANNI ALEXANDER HAQANI",5389,"DEM","Total"
"2016","State Representative","20","GIOVANNI ALEXANDER HAQANI",481,"DEM","Absentee"
"2016","State Representative","20","GIOVANNI ALEXANDER HAQANI",3754,"DEM","Early"
"2016","State Representative","20","GIOVANNI ALEXANDER HAQANI",1154,"DEM","ElectionDay"
"2016","State Representative","21","DEBRA MARIE SARINANA",4685,"DEM","Total"
"2016","State Representative","21","DEBRA MARIE SARINANA",432,"DEM","Absentee"
"2016","State Representative","21","DEBRA MARIE SARINANA",2714,"DEM","Early"
"2016","State Representative","21","DEBRA MARIE SARINANA",1539,"DEM","ElectionDay"
"2016","State Representative","22","JOHN M WALLACE",7510,"DEM","Total"
"2016","State Representative","22","JOHN M WALLACE",776,"DEM","Absentee"
"2016","State Representative","22","JOHN M WALLACE",5142,"DEM","Early"
"2016","State Representative","22","JOHN M WALLACE",1592,"DEM","ElectionDay"
"2016","State Representative","22","JAMES E SMITH",9630,"REP","Total"
"2016","State Representative","22","JAMES E SMITH",981,"REP","Absentee"
"2016","State Representative","22","JAMES E SMITH",6167,"REP","Early"
"2016","State Representative","22","JAMES E SMITH",2482,"REP","ElectionDay"
"2016","State Representative","23","PAUL A PACHECO",7022,"REP","Total"
"2016","State Representative","23","PAUL A PACHECO",745,"REP","Absentee"
"2016","State Representative","23","PAUL A PACHECO",4860,"REP","Early"
"2016","State Representative","23","PAUL A PACHECO",1417,"REP","ElectionDay"
"2016","State Representative","23","DAYMON B ELY",7127,"DEM","Total"
"2016","State Representative","23","DAYMON B ELY",696,"DEM","Absentee"
"2016","State Representative","23","DAYMON B ELY",5169,"DEM","Early"
"2016","State Representative","23","DAYMON B ELY",1262,"DEM","ElectionDay"
"2016","State Representative","24","CHRISTINA MARIE HALL",6198,"REP","Total"
"2016","State Representative","24","CHRISTINA MARIE HALL",916,"REP","Absentee"
"2016","State Representative","24","CHRISTINA MARIE HALL",3733,"REP","Early"
"2016","State Representative","24","CHRISTINA MARIE HALL",1549,"REP","ElectionDay"
"2016","State Representative","24","ELIZABETH L THOMSON",6798,"DEM","Total"
"2016","State Representative","24","ELIZABETH L THOMSON",812,"DEM","Absentee"
"2016","State Representative","24","ELIZABETH L THOMSON",4398,"DEM","Early"
"2016","State Representative","24","ELIZABETH L THOMSON",1588,"DEM","ElectionDay"
"2016","State Representative","25","CHRISTINE TRUJILLO",9807,"DEM","Total"
"2016","State Representative","25","CHRISTINE TRUJILLO",1033,"DEM","Absentee"
"2016","State Representative","25","CHRISTINE TRUJILLO",6516,"DEM","Early"
"2016","State Representative","25","CHRISTINE TRUJILLO",2258,"DEM","ElectionDay"
"2016","State Representative","26","GEORGENE LOUIS",4800,"DEM","Total"
"2016","State Representative","26","GEORGENE LOUIS",360,"DEM","Absentee"
"2016","State Representative","26","GEORGENE LOUIS",3105,"DEM","Early"
"2016","State Representative","26","GEORGENE LOUIS",1335,"DEM","ElectionDay"
"2016","State Representative","27","LORENZO A LARRAÑAGA",9110,"REP","Total"
"2016","State Representative","27","LORENZO A LARRAÑAGA",1280,"REP","Absentee"
"2016","State Representative","27","LORENZO A LARRAÑAGA",6173,"REP","Early"
"2016","State Representative","27","LORENZO A LARRAÑAGA",1657,"REP","ElectionDay"
"2016","State Representative","27","RONALD E KRISE",6457,"DEM","Total"
"2016","State Representative","27","RONALD E KRISE",759,"DEM","Absentee"
"2016","State Representative","27","RONALD E KRISE",4616,"DEM","Early"
"2016","State Representative","27","RONALD E KRISE",1082,"DEM","ElectionDay"
"2016","State Representative","28","JIMMIE C HALL",10279,"REP","Total"
"2016","State Representative","28","JIMMIE C HALL",1231,"REP","Absentee"
"2016","State Representative","28","JIMMIE C HALL",6865,"REP","Early"
"2016","State Representative","28","JIMMIE C HALL",2183,"REP","ElectionDay"
"2016","State Representative","29","DAVID E ADKINS",6977,"REP","Total"
"2016","State Representative","29","DAVID E ADKINS",606,"REP","Absentee"
"2016","State Representative","29","DAVID E ADKINS",4763,"REP","Early"
"2016","State Representative","29","DAVID E ADKINS",1608,"REP","ElectionDay"
"2016","State Representative","29","RONNIE MARTINEZ",6968,"DEM","Total"
"2016","State Representative","29","RONNIE MARTINEZ",528,"DEM","Absentee"
"2016","State Representative","29","RONNIE MARTINEZ",4953,"DEM","Early"
"2016","State Representative","29","RONNIE MARTINEZ",1487,"DEM","ElectionDay"
"2016","State Representative","30","NATE GENTRY",6841,"REP","Total"
"2016","State Representative","30","NATE GENTRY",916,"REP","Absentee"
"2016","State Representative","30","NATE GENTRY",4489,"REP","Early"
"2016","State Representative","30","NATE GENTRY",1436,"REP","ElectionDay"
"2016","State Representative","30","NATALIE R FIGUEROA",6267,"DEM","Total"
"2016","State Representative","30","NATALIE R FIGUEROA",588,"DEM","Absentee"
"2016","State Representative","30","NATALIE R FIGUEROA",4337,"DEM","Early"
"2016","State Representative","30","NATALIE R FIGUEROA",1342,"DEM","ElectionDay"
"2016","State Representative","31","WILLIAM R REHM",10760,"REP","Total"
"2016","State Representative","31","WILLIAM R REHM",1623,"REP","Absentee"
"2016","State Representative","31","WILLIAM R REHM",7448,"REP","Early"
"2016","State Representative","31","WILLIAM R REHM",1689,"REP","ElectionDay"
"2016","State Representative","31","ROBERT L SCOTT",7051,"DEM","Total"
"2016","State Representative","31","ROBERT L SCOTT",896,"DEM","Absentee"
"2016","State Representative","31","ROBERT L SCOTT",5256,"DEM","Early"
"2016","State Representative","31","ROBERT L SCOTT",899,"DEM","ElectionDay"
"2016","State Representative","32","CANDIE G SWEETSER",4486,"DEM","Total"
"2016","State Representative","32","CANDIE G SWEETSER",367,"DEM","Absentee"
"2016","State Representative","32","CANDIE G SWEETSER",2355,"DEM","Early"
"2016","State Representative","32","CANDIE G SWEETSER",1764,"DEM","ElectionDay"
"2016","State Representative","32","VICKI K CHAVEZ",4256,"REP","Total"
"2016","State Representative","32","VICKI K CHAVEZ",395,"REP","Absentee"
"2016","State Representative","32","VICKI K CHAVEZ",2312,"REP","Early"
"2016","State Representative","32","VICKI K CHAVEZ",1549,"REP","ElectionDay"
"2016","State Representative","33","BILL MCCAMLEY",6605,"DEM","Total"
"2016","State Representative","33","BILL MCCAMLEY",333,"DEM","Absentee"
"2016","State Representative","33","BILL MCCAMLEY",3633,"DEM","Early"
"2016","State Representative","33","BILL MCCAMLEY",2639,"DEM","ElectionDay"
"2016","State Representative","33","NEAL L HOOKS",3619,"REP","Total"
"2016","State Representative","33","NEAL L HOOKS",198,"REP","Absentee"
"2016","State Representative","33","NEAL L HOOKS",2006,"REP","Early"
"2016","State Representative","33","NEAL L HOOKS",1415,"REP","ElectionDay"
"2016","State Representative","34","BEALQUIN BILL GOMEZ",5757,"DEM","Total"
"2016","State Representative","34","BEALQUIN BILL GOMEZ",182,"DEM","Absentee"
"2016","State Representative","34","BEALQUIN BILL GOMEZ",2954,"DEM","Early"
"2016","State Representative","34","BEALQUIN BILL GOMEZ",2621,"DEM","ElectionDay"
"2016","State Representative","35","JOSEPH E BISHOP",3782,"REP","Total"
"2016","State Representative","35","JOSEPH E BISHOP",255,"REP","Absentee"
"2016","State Representative","35","JOSEPH E BISHOP",2217,"REP","Early"
"2016","State Representative","35","JOSEPH E BISHOP",1310,"REP","ElectionDay"
"2016","State Representative","35","ANGELICA RUBIO",6412,"DEM","Total"
"2016","State Representative","35","ANGELICA RUBIO",325,"DEM","Absentee"
"2016","State Representative","35","ANGELICA RUBIO",3753,"DEM","Early"
"2016","State Representative","35","ANGELICA RUBIO",2334,"DEM","ElectionDay"
"2016","State Representative","36","ANDREW ANDY NUNEZ",4184,"REP","Total"
"2016","State Representative","36","ANDREW ANDY NUNEZ",166,"REP","Absentee"
"2016","State Representative","36","ANDREW ANDY NUNEZ",2229,"REP","Early"
"2016","State Representative","36","ANDREW ANDY NUNEZ",1789,"REP","ElectionDay"
"2016","State Representative","36","NATHAN P SMALL",5435,"DEM","Total"
"2016","State Representative","36","NATHAN P SMALL",217,"DEM","Absentee"
"2016","State Representative","36","NATHAN P SMALL",3149,"DEM","Early"
"2016","State Representative","36","NATHAN P SMALL",2069,"DEM","ElectionDay"
"2016","State Representative","37","TERRY H MCMILLAN",6760,"REP","Total"
"2016","State Representative","37","TERRY H MCMILLAN",378,"REP","Absentee"
"2016","State Representative","37","TERRY H MCMILLAN",4121,"REP","Early"
"2016","State Representative","37","TERRY H MCMILLAN",2261,"REP","ElectionDay"
"2016","State Representative","37","JOANNE J FERRARY",7483,"DEM","Total"
"2016","State Representative","37","JOANNE J FERRARY",488,"DEM","Absentee"
"2016","State Representative","37","JOANNE J FERRARY",4834,"DEM","Early"
"2016","State Representative","37","JOANNE J FERRARY",2161,"DEM","ElectionDay"
"2016","State Representative","38","MARY E HOTVEDT",5900,"DEM","Total"
"2016","State Representative","38","MARY E HOTVEDT",1832,"DEM","Absentee"
"2016","State Representative","38","MARY E HOTVEDT",2328,"DEM","Early"
"2016","State Representative","38","MARY E HOTVEDT",1740,"DEM","ElectionDay"
"2016","State Representative","38","REBECCA L DOW",7149,"REP","Total"
"2016","State Representative","38","REBECCA L DOW",1522,"REP","Absentee"
"2016","State Representative","38","REBECCA L DOW",3170,"REP","Early"
"2016","State Representative","38","REBECCA L DOW",2457,"REP","ElectionDay"
"2016","State Representative","39","RODOLPHO S MARTINEZ",5103,"DEM","Total"
"2016","State Representative","39","RODOLPHO S MARTINEZ",631,"DEM","Absentee"
"2016","State Representative","39","RODOLPHO S MARTINEZ",2482,"DEM","Early"
"2016","State Representative","39","RODOLPHO S MARTINEZ",1990,"DEM","ElectionDay"
"2016","State Representative","39","JOHN L ZIMMERMAN",4880,"REP","Total"
"2016","State Representative","39","JOHN L ZIMMERMAN",486,"REP","Absentee"
"2016","State Representative","39","JOHN L ZIMMERMAN",2614,"REP","Early"
"2016","State Representative","39","JOHN L ZIMMERMAN",1780,"REP","ElectionDay"
"2016","State Representative","40","NICK L SALAZAR",9038,"DEM","Total"
"2016","State Representative","40","NICK L SALAZAR",612,"DEM","Absentee"
"2016","State Representative","40","NICK L SALAZAR",2939,"DEM","Early"
"2016","State Representative","40","NICK L SALAZAR",5487,"DEM","ElectionDay"
"2016","State Representative","41","DEBBIE A RODELLA",8088,"DEM","Total"
"2016","State Representative","41","DEBBIE A RODELLA",384,"DEM","Absentee"
"2016","State Representative","41","DEBBIE A RODELLA",3347,"DEM","Early"
"2016","State Representative","41","DEBBIE A RODELLA",4357,"DEM","ElectionDay"
"2016","State Representative","42","ROBERTO 'BOBBY' JESSE GONZALES",10654,"DEM","Total"
"2016","State Representative","42","ROBERTO 'BOBBY' JESSE GONZALES",574,"DEM","Absentee"
"2016","State Representative","42","ROBERTO 'BOBBY' JESSE GONZALES",5939,"DEM","Early"
"2016","State Representative","42","ROBERTO 'BOBBY' JESSE GONZALES",4141,"DEM","ElectionDay"
"2016","State Representative","43","STEPHANIE GARCIA RICHARD",8452,"DEM","Total"
"2016","State Representative","43","STEPHANIE GARCIA RICHARD",637,"DEM","Absentee"
"2016","State Representative","43","STEPHANIE GARCIA RICHARD",5112,"DEM","Early"
"2016","State Representative","43","STEPHANIE GARCIA RICHARD",2703,"DEM","ElectionDay"
"2016","State Representative","43","SHARON STOVER",5910,"REP","Total"
"2016","State Representative","43","SHARON STOVER",428,"REP","Absentee"
"2016","State Representative","43","SHARON STOVER",3303,"REP","Early"
"2016","State Representative","43","SHARON STOVER",2179,"REP","ElectionDay"
"2016","State Representative","44","JANE E POWDRELL-CULBERT",12245,"REP","Total"
"2016","State Representative","44","JANE E POWDRELL-CULBERT",1206,"REP","Absentee"
"2016","State Representative","44","JANE E POWDRELL-CULBERT",9086,"REP","Early"
"2016","State Representative","44","JANE E POWDRELL-CULBERT",1953,"REP","ElectionDay"
"2016","State Representative","45","JIM R TRUJILLO",9425,"DEM","Total"
"2016","State Representative","45","JIM R TRUJILLO",661,"DEM","Absentee"
"2016","State Representative","45","JIM R TRUJILLO",5824,"DEM","Early"
"2016","State Representative","45","JIM R TRUJILLO",2940,"DEM","ElectionDay"
"2016","State Representative","46","CARL TRUJILLO",11563,"DEM","Total"
"2016","State Representative","46","CARL TRUJILLO",762,"DEM","Absentee"
"2016","State Representative","46","CARL TRUJILLO",6576,"DEM","Early"
"2016","State Representative","46","CARL TRUJILLO",4225,"DEM","ElectionDay"
"2016","State Representative","47","BRIAN F EGOLF JR",13740,"DEM","Total"
"2016","State Representative","47","BRIAN F EGOLF JR",1344,"DEM","Absentee"
"2016","State Representative","47","BRIAN F EGOLF JR",8766,"DEM","Early"
"2016","State Representative","47","BRIAN F EGOLF JR",3630,"DEM","ElectionDay"
"2016","State Representative","47","ROGER ANDREW GONZALES",3675,"REP","Total"
"2016","State Representative","47","ROGER ANDREW GONZALES",317,"REP","Absentee"
"2016","State Representative","47","ROGER ANDREW GONZALES",1962,"REP","Early"
"2016","State Representative","47","ROGER ANDREW GONZALES",1396,"REP","ElectionDay"
"2016","State Representative","48","LINDA M TRUJILLO",10572,"DEM","Total"
"2016","State Representative","48","LINDA M TRUJILLO",916,"DEM","Absentee"
"2016","State Representative","48","LINDA M TRUJILLO",6167,"DEM","Early"
"2016","State Representative","48","LINDA M TRUJILLO",3489,"DEM","ElectionDay"
"2016","State Representative","49","DON TRIPP",8864,"REP","Total"
"2016","State Representative","49","DON TRIPP",965,"REP","Absentee"
"2016","State Representative","49","DON TRIPP",3726,"REP","Early"
"2016","State Representative","49","DON TRIPP",4173,"REP","ElectionDay"
"2016","State Representative","50","JEREMY RYAN TREMKO",5805,"REP","Total"
"2016","State Representative","50","JEREMY RYAN TREMKO",662,"REP","Absentee"
"2016","State Representative","50","JEREMY RYAN TREMKO",2992,"REP","Early"
"2016","State Representative","50","JEREMY RYAN TREMKO",2151,"REP","ElectionDay"
"2016","State Representative","50","MATTHEW MCQUEEN",8187,"DEM","Total"
"2016","State Representative","50","MATTHEW MCQUEEN",729,"DEM","Absentee"
"2016","State Representative","50","MATTHEW MCQUEEN",5313,"DEM","Early"
"2016","State Representative","50","MATTHEW MCQUEEN",2145,"DEM","ElectionDay"
"2016","State Representative","51","DENISE A LANG",3353,"DEM","Total"
"2016","State Representative","51","DENISE A LANG",226,"DEM","Absentee"
"2016","State Representative","51","DENISE A LANG",1961,"DEM","Early"
"2016","State Representative","51","DENISE A LANG",1166,"DEM","ElectionDay"
"2016","State Representative","51","YVETTE S HERRELL",6447,"REP","Total"
"2016","State Representative","51","YVETTE S HERRELL",464,"REP","Absentee"
"2016","State Representative","51","YVETTE S HERRELL",4183,"REP","Early"
"2016","State Representative","51","YVETTE S HERRELL",1800,"REP","ElectionDay"
"2016","State Representative","52","DOREEN YBARRA GALLEGOS",5796,"DEM","Total"
"2016","State Representative","52","DOREEN YBARRA GALLEGOS",219,"DEM","Absentee"
"2016","State Representative","52","DOREEN YBARRA GALLEGOS",2978,"DEM","Early"
"2016","State Representative","52","DOREEN YBARRA GALLEGOS",2599,"DEM","ElectionDay"
"2016","State Representative","53","RICKY L LITTLE",2804,"REP","Total"
"2016","State Representative","53","RICKY L LITTLE",165,"REP","Absentee"
"2016","State Representative","53","RICKY L LITTLE",1389,"REP","Early"
"2016","State Representative","53","RICKY L LITTLE",1250,"REP","ElectionDay"
"2016","State Representative","53","WILLIE A MADRID",2666,"DEM","Total"
"2016","State Representative","53","WILLIE A MADRID",99,"DEM","Absentee"
"2016","State Representative","53","WILLIE A MADRID",1318,"DEM","Early"
"2016","State Representative","53","WILLIE A MADRID",1249,"DEM","ElectionDay"
"2016","State Representative","54","JAMES G TOWNSEND",7098,"REP","Total"
"2016","State Representative","54","JAMES G TOWNSEND",423,"REP","Absentee"
"2016","State Representative","54","JAMES G TOWNSEND",3509,"REP","Early"
"2016","State Representative","54","JAMES G TOWNSEND",3166,"REP","ElectionDay"
"2016","State Representative","54","FREDDIE JOE NICHOLS III",2292,"IND","Total"
"2016","State Representative","54","FREDDIE JOE NICHOLS III",132,"IND","Absentee"
