"Year","Type","NAME","Candidate","Votes","Party","Cast"
"2018","State Representative","16","ANTONIO 'MOE' MAESTAS",2201,"DEM","ElectionDay"
"2018","State Representative","17","RAY L GALLEGOS",3789,"REP","Total"
"2018","State Representative","17","RAY L GALLEGOS",461,"REP","Absentee"
"2018","State Representative","17","RAY L GALLEGOS",2241,"REP","Early"
"2018","State Representative","17","RAY L GALLEGOS",1087,"REP","ElectionDay"
"2018","State Representative","17","DEBORAH A ARMSTRONG",7027,"DEM","Total"
"2018","State Representative","17","DEBORAH A ARMSTRONG",591,"DEM","Absentee"
"2018","State Representative","17","DEBORAH A ARMSTRONG",4707,"DEM","Early"
"2018","State Representative","17","DEBORAH A ARMSTRONG",1729,"DEM","ElectionDay"
"2018","State Representative","18","GAIL CHASEY",9677,"DEM","Total"
"2018","State Representative","18","GAIL CHASEY",757,"DEM","Absentee"
"2018","State Representative","18","GAIL CHASEY",6121,"DEM","Early"
"2018","State Representative","18","GAIL CHASEY",2799,"DEM","ElectionDay"
"2018","State Representative","19","SHERYL M WILLIAMS STAPLETON",7944,"DEM","Total"
"2018","State Representative","19","SHERYL M WILLIAMS STAPLETON",742,"DEM","Absentee"
"2018","State Representative","19","SHERYL M WILLIAMS STAPLETON",4997,"DEM","Early"
"2018","State Representative","19","SHERYL M WILLIAMS STAPLETON",2205,"DEM","ElectionDay"
"2018","State Representative","20","JIM DINES",5781,"REP","Total"
"2018","State Representative","20","JIM DINES",717,"REP","Absentee"
"2018","State Representative","20","JIM DINES",3556,"REP","Early"
"2018","State Representative","20","JIM DINES",1508,"REP","ElectionDay"
"2018","State Representative","20","ABBAS A AKHIL",5896,"DEM","Total"
"2018","State Representative","20","ABBAS A AKHIL",508,"DEM","Absentee"
"2018","State Representative","20","ABBAS A AKHIL",3869,"DEM","Early"
"2018","State Representative","20","ABBAS A AKHIL",1519,"DEM","ElectionDay"
"2018","State Representative","21","DEBRA MARIE SARINANA",4077,"DEM","Total"
"2018","State Representative","21","DEBRA MARIE SARINANA",379,"DEM","Absentee"
"2018","State Representative","21","DEBRA MARIE SARINANA",2188,"DEM","Early"
"2018","State Representative","21","DEBRA MARIE SARINANA",1510,"DEM","ElectionDay"
"2018","State Representative","22","JESSICA P VELASQUEZ",8058,"DEM","Total"
"2018","State Representative","22","JESSICA P VELASQUEZ",838,"DEM","Absentee"
"2018","State Representative","22","JESSICA P VELASQUEZ",5372,"DEM","Early"
"2018","State Representative","22","JESSICA P VELASQUEZ",1848,"DEM","ElectionDay"
"2018","State Representative","22","GREGG WILLIAM SCHMEDES",8198,"REP","Total"
"2018","State Representative","22","GREGG WILLIAM SCHMEDES",797,"REP","Absentee"
"2018","State Representative","22","GREGG WILLIAM SCHMEDES",4782,"REP","Early"
"2018","State Representative","22","GREGG WILLIAM SCHMEDES",2619,"REP","ElectionDay"
"2018","State Representative","23","DAYMON B ELY",7294,"DEM","Total"
"2018","State Representative","23","DAYMON B ELY",651,"DEM","Absentee"
"2018","State Representative","23","DAYMON B ELY",4945,"DEM","Early"
"2018","State Representative","23","DAYMON B ELY",1698,"DEM","ElectionDay"
"2018","State Representative","23","BRENDA DIANE BOATMAN",5472,"REP","Total"
"2018","State Representative","23","BRENDA DIANE BOATMAN",566,"REP","Absentee"
"2018","State Representative","23","BRENDA DIANE BOATMAN",3340,"REP","Early"
"2018","State Representative","23","BRENDA DIANE BOATMAN",1566,"REP","ElectionDay"
"2018","State Representative","24","TREY STEPHEN MORRIS",4872,"REP","Total"
"2018","State Representative","24","TREY STEPHEN MORRIS",669,"REP","Absentee"
"2018","State Representative","24","TREY STEPHEN MORRIS",2692,"REP","Early"
"2018","State Representative","24","TREY STEPHEN MORRIS",1511,"REP","ElectionDay"
"2018","State Representative","24","ELIZABETH L THOMSON",6734,"DEM","Total"
"2018","State Representative","24","ELIZABETH L THOMSON",699,"DEM","Absentee"
"2018","State Representative","24","ELIZABETH L THOMSON",4196,"DEM","Early"
"2018","State Representative","24","ELIZABETH L THOMSON",1839,"DEM","ElectionDay"
"2018","State Representative","25","JOAN ANTOINETTE MARENTES",3644,"REP","Total"
"2018","State Representative","25","JOAN ANTOINETTE MARENTES",436,"REP","Absentee"
"2018","State Representative","25","JOAN ANTOINETTE MARENTES",2050,"REP","Early"
"2018","State Representative","25","JOAN ANTOINETTE MARENTES",1158,"REP","ElectionDay"
"2018","State Representative","25","CHRISTINE TRUJILLO",8081,"DEM","Total"
"2018","State Representative","25","CHRISTINE TRUJILLO",740,"DEM","Absentee"
"2018","State Representative","25","CHRISTINE TRUJILLO",5303,"DEM","Early"
"2018","State Representative","25","CHRISTINE TRUJILLO",2038,"DEM","ElectionDay"
"2018","State Representative","26","GEORGENE LOUIS",4313,"DEM","Total"
"2018","State Representative","26","GEORGENE LOUIS",294,"DEM","Absentee"
"2018","State Representative","26","GEORGENE LOUIS",2523,"DEM","Early"
"2018","State Representative","26","GEORGENE LOUIS",1496,"DEM","ElectionDay"
