"Year","Type","Type_Sub","Candidate","Party","Votes","Percent","Winner"
"2014","State Representative","20","JOSH R ANDERSON","DEM",3868,0.452,""
"2014","State Representative","21","MIMI STEWART","DEM",2565,1,"Winner"
"2014","State Representative","22","JAMES E SMITH","REP",7277,0.594,"Winner"
"2014","State Representative","22","JOHN M WALLACE","DEM",4978,0.406,""
"2014","State Representative","23","PAUL A PACHECO","REP",5139,0.565,"Winner"
"2014","State Representative","23","CATHERINE A BEGAYE","DEM",3955,0.435,""
"2014","State Representative","24","CONRAD D JAMES","REP",4433,0.522,"Winner"
"2014","State Representative","24","ELIZABETH L THOMSON","DEM",4059,0.478,""
"2014","State Representative","25","MARIANNE COSTELLO","REP",3353,0.395,""
"2014","State Representative","25","CHRISTINE TRUJILLO","DEM",5140,0.605,"Winner"
"2014","State Representative","26","LOUIS TAFOYA","REP",1601,0.444,""
"2014","State Representative","26","GEORGENE LOUIS","DEM",2003,0.556,"Winner"
"2014","State Representative","27","LORENZO A LARRAÑAGA","REP",6275,0.606,"Winner"
"2014","State Representative","27","WILLIAM B PRATT","IND",4088,0.394,""
"2014","State Representative","28","JIMMIE C HALL","REP",7245,1,"Winner"
"2014","State Representative","29","DAVID EDWARD ADKINS","REP",4027,0.537,"Winner"
"2014","State Representative","29","RONNIE MARTINEZ","DEM",3470,0.463,""
"2014","State Representative","3","PAUL C BANDY","REP",5168,1,"Winner"
"2014","State Representative","30","NATE GENTRY","REP",4760,0.543,"Winner"
"2014","State Representative","30","ROBERT M COFFEY JR","DEM",3999,0.457,""
"2014","State Representative","31","WILLIAM R REHM","REP",9043,1,"Winner"
"2014","State Representative","32","TOM BILL BLACK","REP",2874,0.469,""
"2014","State Representative","32","DONA G IRWIN","DEM",3249,0.531,"Winner"
"2014","State Representative","33","NEAL L HOOKS","REP",2646,0.425,""
"2014","State Representative","33","BILL MCCAMLEY","DEM",3585,0.575,"Winner"
"2014","State Representative","34","BEALQUIN BILL GOMEZ","DEM",2482,1,"Winner"
"2014","State Representative","35","BETTY J BISHOP","REP",2657,0.429,""
"2014","State Representative","35","JEFF STEINBORN","DEM",3540,0.571,"Winner"
"2014","State Representative","36","ANDREW ANDY NUNEZ","REP",3113,0.541,"Winner"
"2014","State Representative","36","PHILLIP M ARCHULETA","DEM",2646,0.459,""
"2014","State Representative","37","TERRY H MCMILLAN","REP",4692,0.523,"Winner"
"2014","State Representative","37","JOANNE J FERRARY","DEM",4283,0.477,""
"2014","State Representative","38","DIANNE HAMILTON","REP",5593,0.578,"Winner"
"2014","State Representative","38","TERRY D FORTENBERRY","DEM",4087,0.422,""
"2014","State Representative","39","JOHN L ZIMMERMAN","REP",3611,0.525,"Winner"
"2014","State Representative","39","RODOLPHO S MARTINEZ","DEM",3267,0.475,""
"2014","State Representative","4","SHARON CLAHCHISCHILLIAGE","REP",3785,0.598,"Winner"
"2014","State Representative","4","HARRISON TODACHEENE","DEM",2549,0.402,""
"2014","State Representative","40","JAMES R GALLEGOS","REP",2928,0.332,""
"2014","State Representative","40","NICK L SALAZAR","DEM",5883,0.668,"Winner"
"2014","State Representative","41","DEBBIE A RODELLA","DEM",4951,1,"Winner"
"2014","State Representative","42","ROBERTO 'BOBBY' JESSE GONZALES","DEM",7738,1,"Winner"
"2014","State Representative","43","GEOFF RODGERS","REP",4522,0.432,""
"2014","State Representative","43","STEPHANIE GARCIA RICHARD","DEM",5955,0.568,"Winner"
"2014","State Representative","44","JANE E POWDRELL- CULBERT","REP",7594,1,"Winner"
"2014","State Representative","45","JIM R TRUJILLO","DEM",6264,1,"Winner"
"2014","State Representative","46","CARL TRUJILLO","DEM",8015,1,"Winner"
"2014","State Representative","47","BRIAN F EGOLF JR","DEM",9770,1,"Winner"
"2014","State Representative","48","LUCIANO 'LUCKY' VARELA","DEM",7020,1,"Winner"
"2014","State Representative","49","DON TRIPP","REP",6053,0.714,"Winner"
"2014","State Representative","49","ERIK GALE HAWKES","DEM",2427,0.286,""
"2014","State Representative","5","DOREEN W JOHNSON","DEM",4807,0.863,"Winner"
"2014","State Representative","5","SANDRA D JEFF (write in)","DEM",763,0.137,""
"2014","State Representative","50","VICKIE S PEREA","REP",4727,0.46,""
"2014","State Representative","50","MATTHEW MCQUEEN","DEM",5546,0.54,"Winner"
"2014","State Representative","51","YVETTE HERRELL","REP",5209,1,"Winner"
"2014","State Representative","52","DOREEN Y GALLEGOS","DEM",3179,1,"Winner"
"2014","State Representative","53","RICKY L LITTLE","REP",1708,0.619,"Winner"
"2014","State Representative","53","MARIAELENA JOHNSON","DEM",1050,0.381,""
"2014","State Representative","54","JAMES G TOWNSEND","REP",5045,1,"Winner"
"2014","State Representative","55","CATHRYNN N BROWN","REP",5353,0.76,"Winner"
"2014","State Representative","55","CHRISTY K THOMAS","DEM",1688,0.24,""
"2014","State Representative","56","ZACH J COOK","REP",5202,1,"Winner"
"2014","State Representative","57","JASON CARL HARPER","REP",3517,0.595,"Winner"
"2014","State Representative","57","DONNA I TILLMAN","DEM",2391,0.405,""
"2014","State Representative","58","CANDY SPENCE EZZELL","REP",2972,1,"Winner"
"2014","State Representative","59","NORA ESPINOZA","REP",6481,0.756,"Winner"
"2014","State Representative","59","RICHARD D MASTIN","DEM",2093,0.244,""
"2014","State Representative","6","ELISEO LEE ALCON","DEM",4512,0.985,"Winner"
"2014","State Representative","6","SHELLY C CHIMONI (write in)","DEM",69,0.015,""
"2014","State Representative","60","TIM LEWIS","REP",4885,0.634,"Winner"
"2014","State Representative","60","LINDA SANCHEZ ALLISON","DEM",2822,0.366,""
"2014","State Representative","61","DAVID M GALLEGOS","REP",2425,1,"Winner"
"2014","State Representative","62","LARRY R SCOTT","REP",4395,1,"Winner"
"2014","State Representative","63","GEORGE DODGE JR","DEM",3882,1,"Winner"
"2014","State Representative","64","RANDAL S CROWDER","REP",4778,1,"Winner"
"2014","State Representative","65","JAMES R MADALENA","DEM",4744,1,"Winner"
"2014","State Representative","66","BOB WOOLEY","REP",5492,1,"Winner"
"2014","State Representative","67","DENNIS J ROCH","REP",6676,1,"Winner"
"2014","State Representative","68","MONICA C YOUNGBLOOD","REP",5663,1,"Winner"
"2014","State Representative","69","W KEN MARTINEZ","DEM",4701,1,"Winner"
"2014","State Representative","7","KELLY K FAJARDO","REP",3514,0.571,"Winner"
"2014","State Representative","7","TERESA KE SMITH DE CHERIF","DEM",2642,0.429,""
"2014","State Representative","70","TOMAS E SALAZAR","DEM",6276,1,"Winner"
"2014","State Representative","8","ALONZO BALDONADO","REP",4770,0.587,"Winner"
"2014","State Representative","8","FRANK A OTERO","DEM",3353,0.413,""
"2014","State Representative","9","PATRICIA 'PATTY' A LUNDSTROM","DEM",4437,1,"Winner"
"2014","United States Senator","United States Senator","ALLEN E WEH","REP",229097,0.444,""
"2014","United States Senator","United States Senator","TOM UDALL","DEM",286409,0.556,"Winner"
"2014","United States Representative","1","MICHAEL H FRESE","REP",74558,0.414,""
"2014","United States Representative","1","MICHELLE LUJAN GRISHAM","DEM",105474,0.586,"Winner"
"2014","United States Representative","2","STEVE PEARCE","REP",95209,0.644,"Winner"
"2014","United States Representative","2","ROXANNE 'ROCKY' LARA","DEM",52499,0.355,""
"2014","United States Representative","2","JACK A MCGRANN (write in)","REP",69,0,""
"2014","United States Representative","3","JEFFERSON L BYRD","REP",70775,0.384,""
"2014","United States Representative","3","BEN R LUJAN","DEM",113249,0.615,"Winner"
"2014","United States Representative","3","THOMAS F HOOK (write in)","REP",52,0,""
"2014","Governor and Lieutenant Governor","Governor and Lieutenant Governor","SUSANA MARTINEZ - JOHN A SANCHEZ","REP",293443,0.572,"Winner"
"2014","Governor and Lieutenant Governor","Governor and Lieutenant Governor","GARY K KING - DEBRA A HAALAND","DEM",219362,0.428,""
"2014","Secretary of State","Secretary of State","MAGGIE TOULOUSE OLIVER","DEM",245508,0.484,""
"2014","Secretary of State","Secretary of State","DIANNA J DURAN","REP",262117,0.516,"Winner"
"2014","State Auditor","State Auditor","ROBERT J ARAGON","REP",228019,0.457,""
"2014","State Auditor","State Auditor","TIMOTHY M KELLER","DEM",270386,0.543,"Winner"
"2014","State Treasurer","State Treasurer","TIM EICHENBERG","DEM",261203,0.525,"Winner"
"2014","State Treasurer","State Treasurer","RICK J LOPEZ","REP",236699,0.475,""
"2014","Attorney General","Attorney General","SUSAN M RIEDEL","REP",211303,0.417,""
"2014","Attorney General","Attorney General","HECTOR BALDERAS","DEM",295008,0.583,"Winner"
"2014","Commissioner of Public Lands","Commissioner of Public Lands","RAY BENNETT POWELL","DEM",249337,0.499,""
"2014","Commissioner of Public Lands","Commissioner of Public Lands","AUBREY DUNN","REP",249993,0.501,"Winner"
"2014","Judge of the Court of Appeals","Judge of the Court of Appeals","KERRY C KIERNAN","DEM",238124,0.491,""
"2014","Judge of the Court of Appeals","Judge of the Court of Appeals","J MILES HANISEE","REP",246845,0.509,"Winner"
